Gene stable ID	UniProtKB Gene Name ID	Gene name
ENSMUSG00000113686		Gm19189
ENSMUSG00000011148	Q3UBP0	Adss1
ENSMUSG00000011148	J3QN31	Adss1
ENSMUSG00000011148	P28650	Adss1
ENSMUSG00000114176		Gm48329
ENSMUSG00000113240		Gm48338
ENSMUSG00000113389		Gm9512
ENSMUSG00000022401	E9Q7I3	Xpnpep3
ENSMUSG00000022401	B7ZMP1	Xpnpep3
ENSMUSG00000113410		Gm20043
ENSMUSG00000112700		Gm48757
ENSMUSG00000112162		Gm48758
ENSMUSG00000046041	Q8VFI3	Or6c3b
ENSMUSG00000097806		Gm6556
ENSMUSG00000112303		Gm48759
ENSMUSG00000097684		Gm26645
ENSMUSG00000088147		Gm24717
ENSMUSG00000095401	Q7TRH7	Or6c6c
ENSMUSG00000055254	A0A286YDA0	Ntrk2
ENSMUSG00000055254	A0A286YCV8	Ntrk2
ENSMUSG00000055254	A0A286YDA3	Ntrk2
ENSMUSG00000055254	Q3UHE3	Ntrk2
ENSMUSG00000055254	P15209	Ntrk2
ENSMUSG00000060487	A0A0R4J186	Samd5
ENSMUSG00000112680		Gm48760
ENSMUSG00000112200		Gm19161
ENSMUSG00000051503	E9Q8Z1	Ccdc121rt3
ENSMUSG00000096858	Q8VFI4	Or6c212
ENSMUSG00000096858	A0A0N4SW83	Or6c212
ENSMUSG00000105368		Gm43759
ENSMUSG00000100593		1700119H24Rik
ENSMUSG00000104885		Gm43758
ENSMUSG00000116840		Gm21691
ENSMUSG00000032289	D3Z044	Thsd4
ENSMUSG00000032289	Q3UTY6	Thsd4
ENSMUSG00000093637		Gm20636
ENSMUSG00000048153	Q9Z1V0	Or6e1
ENSMUSG00002075880		Gm55830
ENSMUSG00000035376	Q9D3B1	Hacd2
ENSMUSG00000071065	Q8VFI2	Or6c213
ENSMUSG00000105703		Gm43305
ENSMUSG00000063646	A0A140LIJ5	Jakmip1
ENSMUSG00000063646	G3UY22	Jakmip1
ENSMUSG00000063646	A0A1D5RLA4	Jakmip1
ENSMUSG00000063646	G3UYZ9	Jakmip1
ENSMUSG00000063646	D3Z555	Jakmip1
ENSMUSG00000063646	G3UXP3	Jakmip1
ENSMUSG00000063646	G3UXP1	Jakmip1
ENSMUSG00000063646	D3Z4U5	Jakmip1
ENSMUSG00000063646	Q8BVL9	Jakmip1
ENSMUSG00000098289		Mir6715
ENSMUSG00000105294		Gm43304
ENSMUSG00000055523	Q6TL19	Gucy2g
ENSMUSG00000105667		Gm3945
ENSMUSG00000105501		5330426L24Rik
ENSMUSG00000050478	Q8VGI9	Or6c214
ENSMUSG00000021940	A0A2I3BQP0	Ptpn20
ENSMUSG00000021940	O55082	Ptpn20
ENSMUSG00000049894	Q8VGI8	Or6c65
ENSMUSG00000024512	Q9D7M5	Dynap
ENSMUSG00000022840	P84309	Adcy5
ENSMUSG00000050251	Q8VEX8	Or6c76
ENSMUSG00000050251	A0A0N4SVC0	Or6c76
ENSMUSG00000050251	Q7TRH6	Or6c76
ENSMUSG00000110495		Gm45879
ENSMUSG00000044906	G8CZ62	4930503L19Rik
ENSMUSG00000044906	G8CZ89	4930503L19Rik
ENSMUSG00000044906	A0A1D5RME7	4930503L19Rik
ENSMUSG00000044906	G8CZ56	4930503L19Rik
ENSMUSG00000044906	G8CZ53	4930503L19Rik
ENSMUSG00000044906	A0A1D5RLY5	4930503L19Rik
ENSMUSG00000044906	A0A1D5RMK7	4930503L19Rik
ENSMUSG00000044906	Q8CB14	4930503L19Rik
ENSMUSG00000069421	Q8VFH9	Or6c69b
ENSMUSG00000004508	Q3ZB57	Gab2
ENSMUSG00000004508	Q3ZB59	Gab2
ENSMUSG00000063173	Q8VFI1	Or6c215
ENSMUSG00000047108	Q9QYI8	Dnajb7
ENSMUSG00000024981	Q3UC67	Acsl5
ENSMUSG00000024981	A0A286YD68	Acsl5
ENSMUSG00000024981	A0A286YE29	Acsl5
ENSMUSG00000024981	Q8JZR0	Acsl5
ENSMUSG00000049052	Q8VG64	Or6c216
ENSMUSG00000091492		Gm17025
ENSMUSG00000022400	A0A2R8W6G1	Rbx1
ENSMUSG00000022400	A0A2R8W6R3	Rbx1
ENSMUSG00000022400	P62878	Rbx1
ENSMUSG00000052818	Q7TRH5	Or6c76b
ENSMUSG00000059134	Q7TRH4	Or6c70
ENSMUSG00000064326	O54926	Siva1
ENSMUSG00000061961	Q7TRH3	Or6c217
ENSMUSG00000061961	Q8VFU0	Or6c217
ENSMUSG00000063715	Q8VFU2	Or6c69
ENSMUSG00000084152		Gm11617
ENSMUSG00000039963	A0A494BAV6	Ccdc40
ENSMUSG00000039963	A0A494BAF9	Ccdc40
ENSMUSG00000107399		Or6c218-ps1
ENSMUSG00000048745	Q8VFU5	Or6c33
ENSMUSG00000064446		Gm26228
ENSMUSG00000115134		Gm49108
ENSMUSG00000083852		Gm13007
ENSMUSG00000115751		4930503F20Rik
ENSMUSG00000043155	Q8K248	Hpdl
ENSMUSG00000044897	Q8VG45	Or6c74
ENSMUSG00000021943	P97737	Gdf10
ENSMUSG00000086417		Gm12996
ENSMUSG00000075390		Rpl36-ps8
ENSMUSG00000082841		Gm12994
ENSMUSG00000058251	Q8VFU1	Or6c69c
ENSMUSG00000082063		Gm12993
ENSMUSG00000028668	Q8CB77	Eloa
ENSMUSG00000072625	Q9WV56	Gdf2
ENSMUSG00000108253		Or10i1-ps1
ENSMUSG00002075911		Gm25179
ENSMUSG00000116766		Gm49702
ENSMUSG00000096747	Q7TRH2	Or9r3
ENSMUSG00000001729	D3YYP9	Akt1
ENSMUSG00000001729	D3Z783	Akt1
ENSMUSG00000001729	D3YXX3	Akt1
ENSMUSG00000001729	P31750	Akt1
ENSMUSG00000034473	B7ZNW3	Sec22a
ENSMUSG00000034473	B2RSR2	Sec22a
ENSMUSG00000034473	A0A338P6J4	Sec22a
ENSMUSG00000034473	Q8BH47	Sec22a
ENSMUSG00000098216		Gm5181
ENSMUSG00000041534	A0A0R4J0H3	Rbp3
ENSMUSG00000094085	L7N226	Vmn1r114
ENSMUSG00000095804	Q8VFU4	Or9r7
ENSMUSG00000115917		Gm49406
ENSMUSG00000091198		Gm5218
ENSMUSG00000091435	K7N6Y3	Vmn1r115
ENSMUSG00000103520		1110025M09Rik
ENSMUSG00000055024	A0A0U1RNN6	Ep300
ENSMUSG00000055024	B2RWS6	Ep300
ENSMUSG00000095973	L7N2A6	Vmn1r116
ENSMUSG00000108134		Gm9560
ENSMUSG00000096737	L7N2C9	Vmn1r117
ENSMUSG00000058084	Q8VFU7	Or9k2
ENSMUSG00000000959	Q8BGA9	Oxa1l
ENSMUSG00000035713	M0QWN7	Usp35
ENSMUSG00000112688		Gm48514
ENSMUSG00000059862	Q8VFU6	Or9k2b
ENSMUSG00000085714		Gm13008
ENSMUSG00000097995		Gm24362
ENSMUSG00000019790	D3Z079	Stxbp5
ENSMUSG00000019790	D3Z2Q2	Stxbp5
ENSMUSG00000019790	F6WXQ4	Stxbp5
ENSMUSG00000019790	Q8K400	Stxbp5
ENSMUSG00000038368	E9PYJ6	Focad
ENSMUSG00000038368	A2AKG8	Focad
ENSMUSG00000024982	A0A286YE37	Zdhhc6
ENSMUSG00000024982	Q9CPV7	Zdhhc6
ENSMUSG00002075160		Gm55661
ENSMUSG00000111296		2010001M07Rik
ENSMUSG00000111065		Gm47676
ENSMUSG00000116624		Gm49706
ENSMUSG00000064463		Gm25079
ENSMUSG00000088550		Gm22099
ENSMUSG00000064769		Gm23518
ENSMUSG00000111667		Gm47740
ENSMUSG00000022844	Q921X9	Pdia5
ENSMUSG00000111512		Gm17853
ENSMUSG00000117085		4930542M03Rik
ENSMUSG00000047766	D3YWN5	Lrrc49
ENSMUSG00000047766	E9QM16	Lrrc49
ENSMUSG00000047766	G5E8R5	Lrrc49
ENSMUSG00000047766	D6RIL3	Lrrc49
ENSMUSG00000047766	D3YUD9	Lrrc49
ENSMUSG00000047766	E9Q8C9	Lrrc49
ENSMUSG00000047766	D3Z2Y1	Lrrc49
ENSMUSG00000117048		Gm41584
ENSMUSG00000000673	A0A3Q4L2Y6	Haao
ENSMUSG00000000673	A0A3Q4EBW1	Haao
ENSMUSG00000000673	A0A3Q4EC06	Haao
ENSMUSG00000000673	Q78JT3	Haao
ENSMUSG00000097686		Gm26647
ENSMUSG00000029348	A0A0G2JEN6	Asphd2
ENSMUSG00000029348	A0A0G2JDE0	Asphd2
ENSMUSG00000029348	A0A0G2JFS8	Asphd2
ENSMUSG00000029348	A0A0G2JED5	Asphd2
ENSMUSG00000029348	A0A0G2JDL8	Asphd2
ENSMUSG00000029348	Q80VP9	Asphd2
ENSMUSG00000094589	L7N273	Vmn1r118
ENSMUSG00000099623		Gm4526
ENSMUSG00000045467	A6H647	Ttll13
ENSMUSG00000045467	A4Q9F6	Ttll13
ENSMUSG00000044519	Q5HZG9	Zfp488
ENSMUSG00002076524		Gm55297
ENSMUSG00000099429		1600019K03Rik
ENSMUSG00000052133	Q60519	Sema5b
ENSMUSG00000117286	A0A140LJA6	Gm1043
ENSMUSG00000117286	A0A338P719	Gm1043
ENSMUSG00000000958	A0A2I3BPU1	Slc7a7
